,urls
70,https://www.cnn.com/2022/02/28/media/wartime-reporting-ukraine-russia/index.html
71,https://www.cnn.com/2022/02/27/us/ukrainian-americans-russia-war/index.html
72,https://www.cnn.com/2022/02/26/us/us-rallies-in-support-of-ukraine/index.html
73,https://www.cnn.com/2022/02/27/investing/stocks-week-ahead/index.html
74,https://www.cnn.com/2022/02/28/politics/us-kyiv-fears/index.html
75,https://www.cnn.com/2022/03/01/europe/volodymyr-zelensky-ukraine-cnn-interview-intl/index.html
76,https://www.cnn.com/2022/03/01/media/social-media-journalism-ukraine-russia/index.html
77,https://www.cnn.com/2022/03/01/tennis/elina-svitolina-ukraine-russia-spt-intl/index.html
78,https://www.cnn.com/2022/03/01/tech/microsoft-geneva-convention-ukraine/index.html
79,https://www.cnn.com/2022/03/01/europe/nato-ukraine-russian-infiltrators-intl-cmd/index.html
80,https://www.cnn.com/2022/03/01/opinions/republicans-gop-ukraine-russia-war-putin-dent/index.html
81,https://www.cnn.com/2022/03/01/business/oil-ukraine-russia-putin/index.html
82,https://www.cnn.com/2022/03/01/media/the-batman-russia/index.html
83,https://www.cnn.com/2022/03/01/politics/ukraine-refugee-crisis-us-resettlement/index.html
84,https://www.cnn.com/2022/03/01/politics/sotu-biden-2022/index.html
85,https://www.cnn.com/2022/03/01/opinions/putin-threat-of-nuclear-war-russia-ukraine-filipovic/index.html
86,https://www.cnn.com/business/live-news/stock-market-news-russia-ukraine-22722/index.html
87,https://www.cnn.com/2022/03/01/africa/africa-condemns-racism-ukraine-intl/index.html
88,https://www.cnn.com/2022/02/28/media/rt-tv-carriers-facebook-tiktok-youtube/index.html
89,https://www.cnn.com/2022/03/01/opinions/opinion-state-of-the-union-twitter-roundup/index.html
90,https://www.cnn.com/2022/03/02/europe/ukraine-russia-invasion-wednesday-intl-hnk/index.html
91,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-01-22/index.html
92,https://www.cnn.com/2022/03/03/europe/russia-reaction-war-ukraine-dougherty-intl-hnk/index.html
93,https://www.cnn.com/2022/03/02/europe/russia-ukraine-shifting-map-analysis-intl-cmd/index.html
94,https://www.cnn.com/2022/03/01/europe/ukraine-russia-invasion-tuesday-intl-hnk/index.html
95,https://www.cnn.com/2022/03/02/europe/ukraine-putin-europe-security-analysis-intl-cmd/index.html
96,https://www.cnn.com/2022/03/02/world/ukraine-ilya-kaminsky-poem-we-lived-happily-cec/index.html
97,https://www.cnn.com/2022/03/02/opinions/ukraine-war-racist-stereotypes-joseph/index.html
98,https://www.cnn.com/2022/03/01/europe/russia-opposition-putin-media-intl/index.html
99,https://www.cnn.com/2022/03/02/health/kids-anxiety-ukraine-wellness/index.html
100,https://www.cnn.com/2022/03/02/middleeast/mideast-summary-03-02-2022-intl/index.html
101,https://www.cnn.com/travel/article/travel-world-response-ukraine-invasion/index.html
102,https://www.cnn.com/2022/03/02/asia/us-delegation-taiwan-ukraine-intl-hnk/index.html
103,https://www.cnn.com/2022/03/02/politics/blinken-russia-cyberattacks-ukraine/index.html
104,https://www.cnn.com/2022/03/02/media/rt-propaganda-network/index.html
105,https://www.cnn.com/2022/03/02/tech/ukraine-russia-internet/index.html
106,https://www.cnn.com/2022/03/02/tennis/elina-svitolina-donates-prize-money-to-ukraine-spt-intl/index.html
107,https://www.cnn.com/2022/03/02/politics/putin-mental-state-what-matters/index.html
108,https://www.cnn.com/2022/03/02/opinions/granddaughter-jews-who-escaped-kyiv-humanitarian-aid-rez/index.html
