,urls
76,https://www.foxnews.com/world/ukrainian-town-shows-significant-damage-after-shelling
77,https://www.foxnews.com/politics/romney-obama-trump-biden-russias-invade-ukraine-80s-called-didnt-answer
78,https://www.foxnews.com/entertainment/erika-eleniak-russia-attack-ukraine-diabolical-behavior
79,https://www.foxnews.com/world/putin-nato-nuclear-weapons-french
80,https://www.foxnews.com/politics/biden-nato-meet-counter-russian-invasion-dangerous-moment-for-all-of-europe
81,https://www.foxnews.com/sports/ioc-condemns-russia-breach-olympic-truce-invasion-ukraine-give-peace-chance
82,https://www.foxnews.com/entertainment/dwts-maks-chmerkovskiy-ukraine-video-scared
83,https://www.foxnews.com/lifestyle/prayers-ukraine-american-faith-leaders-concerns
84,https://www.foxnews.com/sports/brazilian-soccer-players-stuck-ukraine
85,https://www.foxnews.com/lifestyle/russia-ukraine-war-faith-leader-human-life
86,https://www.foxnews.com/media/russia-ukraine-war-come-down-ukrainian-people-christopher-cox
87,https://www.foxnews.com/politics/biden-promise-restore-world-order-collapse-russia-global-chaos
88,https://www.foxnews.com/media/joy-behar-view-russia-ukraine-italy-europe-vacation
89,https://www.foxnews.com/sports/capitals-alex-ovechkin-russia-invasion-ukraine-no-war
90,https://www.foxnews.com/entertainment/angelina-jolie-russia-ukraine-praying
91,https://www.foxnews.com/us/kyiv-under-siege-as-russian-forces-overrun-ukraine
92,https://www.foxnews.com/opinion/tucker-carlson-russia-ukraine-defeat-joe-biden
93,https://www.foxnews.com/lifestyle/identifying-stress-and-anxiety-russia-ukraine-war
94,https://www.foxnews.com/world/ukraines-foreign-minister-accuses-russia-war-crimes-attacks-school-orphanage
95,https://www.foxnews.com/us/communities-gather-support-ukraine-people-thinking-how-not-to-die
96,https://www.foxnews.com/media/russia-ukraine-crisis-kristi-noem-cpac
97,https://www.foxnews.com/world/afghanistans-taliban-government-calls-for-restraint-ukraine-russia-war
98,https://www.foxnews.com/entertainment/hayden-panettiere-daughter-safe-ukraine-russia-war-wladimir-klitschko
99,https://www.foxnews.com/world/russia-invading-ukraine-devastation-putin-attacks-photos
100,https://www.foxnews.com/lifestyle/how-help-people-ukraine
101,https://www.foxnews.com/world/ukraine-army-enlist-russia-invasion
102,https://www.foxnews.com/opinion/clinton-obama-and-biden-caused-ukraine-crisis
103,https://www.foxnews.com/politics/russian-invasion-biden-2019-imagine-ukraine-trump
104,https://www.foxnews.com/politics/sen-braun-biden-painful-sanctions-putin
105,https://www.foxnews.com/media/washington-post-columnist-mocks-pope-francis-empty-gesture-peace-ukraine
106,https://www.foxnews.com/us/russia-ukraine-fort-riley-tank-brigade-europe
107,https://www.foxnews.com/world/russia-ukraine-war-story-behind-viral-ambassador-samurai-sword
108,https://www.foxnews.com/politics/georgia-republican-marine-ukraine-war-military-transgender-policy
109,https://www.foxnews.com/media/russian-anti-war-protests-james-carafano
110,https://www.foxnews.com/media/civilian-hiding-in-bomb-shelter-says-russians-soldiers-are-getting-clobbered
111,https://www.foxnews.com/entertainment/dancing-with-stars-maksim-chmerkovskiy-ukraine-citizens-mobilized-war-russia
112,https://www.foxnews.com/world/ukraine-invasion-russian-mobile-crematorium
113,https://www.foxnews.com/politics/ukraine-invasion-nato-response-force
114,https://www.foxnews.com/media/kremlins-limitation-of-facebook-access-terrible-omen-for-russian-freedom
115,https://www.foxnews.com/world/u-s-will-need-to-get-involved-if-russia-invades-nato-countries-top-house-republican-warns
116,https://www.foxnews.com/politics/sen-blackburn-americans-trapped-ukraine-biden-weak-putin
117,https://www.foxnews.com/world/ukrainian-soldier-livestreamed-snake-island-heroic-stand
118,https://www.foxnews.com/world/ukraine-invasion-russia-protests-taiwan-attack
119,https://www.foxnews.com/us/russian-vodka-us-canada-bars-liquor-stores-shelves
120,https://www.foxnews.com/media/dan-crenshaw-hillary-clinton-trump-russia-ukraine
121,https://www.foxnews.com/world/germany-army-standing-bare-limited-combat-readiness-top-chief
122,https://www.foxnews.com/politics/trump-world-war-russia-invasion-ukraine
123,https://www.foxnews.com/politics/ukraine-invasion-russia-increasingly-frustrated-lack-of-momentum-us-defense-official
124,https://www.foxnews.com/world/ukraine-russia-kyiv-standing-zelenskyy-refuses-leave
125,https://www.foxnews.com/lifestyle/russia-war-ukraine-babies-children-highest-price
126,https://www.foxnews.com/world/ukraine-russian-troops-underfunded-equipment-subpar
127,https://www.foxnews.com/us/ukraine-russia-victims-communism-memorial-foundation
128,https://www.foxnews.com/world/russia-ukraine-war-grenell-rips-into-biden-administration-state-department-over-crisis
129,https://www.foxnews.com/world/ukraine-russia-350-million-payment-defense-support
